fund_name,equities,fixed_income,alternatives,cash,total_percent,notes
Abu Dhabi Investment Authority (ADIA) 2023,51.0,15.5,34.0,2.5,103.0,"Asset allocation is based on the midpoint of long-term strategy portfolio ranges, which do not total 100%. Equities includes Developed Equities (37%), Emerging Market Equities (11%), and Small Cap Equities (3%). Fixed Income includes Government Bonds (11%) and Credit (4.5%). Alternatives includes Financial Alternatives (7.5%), Real Estate (7.5%), Private Equity (14.5%), and Infrastructure (4.5%)."
Alaska Permanent Fund 2023/2024,33.0,18.0,47.0,2.0,100.0,"Asset allocation as of June 30, 2024. Alternatives category combines Private Equity (18%), Real Estate (12%), Private Income (9%), Absolute Return (7%), and Tactical Opportunities (1%)."
Fondo de Ahorro de Panamá (FAP) 2024,17.0,47.0,7.0,29.0,100.0,Asset allocation as of year-end 2024.
Fondo de Estabilización Económica y Social (FEES) 2023,,84.8,15.1,0.2,100.1,"Asset allocation as of December 31, 2023. Fixed income includes Treasury bills (71.0%), sovereign bonds (9.9%), and inflation-indexed sovereign bonds (3.9%). Alternative investments consist of US agency mortgage-backed securities (MBS). Cash is part of 'Other' which also includes unsettled transactions."
Fondo de Reserva de Pensiones (FRP) 2023,31.3,68.7,,,100.0,"Asset allocation for the Portafolio de Inversión de Largo Plazo (PILP) as of December 31, 2023. Fixed income (68.7%) includes sovereign bonds and other related assets (33.8%), corporate bonds (13.0%), high-yield bonds (8.0%), inflation-linked sovereign bonds (7.9%), and US agency mortgage-backed securities (6.0%)."
Future Fund 2023/2024,37.3,11.0,45.0,6.7,100.0,"Asset allocation as at 30 June 2024. Equities includes Australian equities (10.3%), global developed markets equities (20.8%), and global emerging market equities (6.2%). Alternatives includes private equity (14.5%), property (5.4%), infrastructure and timberland (9.9%), and other alternatives (15.2%)."
GIC Private Limited (GIC) 2023/2024,30.0,39.0,31.0,,100.0,"Asset mix as at March 31, 2024. Equities consist of Developed Market Equities (13%) and Emerging Market Equities (17%). Fixed income consists of Nominal Bonds and Cash (32%) and Inflation-Linked Bonds (7%). Alternatives consist of Real Estate (13%) and Private Equity (18%)."
Government Pension Fund Global (GPFG) 2024,71.4,26.6,1.9,,99.9,Asset allocation at the end of 2024. Alternative investments consist of unlisted real estate (1.8%) and unlisted renewable energy infrastructure (0.1%).
New Zealand Superannuation Fund (NZ Super Fund) 2023/2024,50.0,21.0,25.0,4.0,100.0,"Asset allocation as at 30 June 2024. Alternatives includes liquid alternatives (7%), infrastructure (5%), rural and timber (5%), property (5%), and private equity (3%). Cash category includes cash and miscellaneous assets."
Temasek Holdings (Private) Limited (Temasek) 2023/2024,,,,,,"Asset allocation by standard classes was not explicitly provided. The report provides a breakdown by liquidity profile (e.g., 48% in liquid and listed assets, 52% in unlisted assets), but categories mix asset classes (e.g., 'Liquid & sub-20% listed assets' includes both cash and equities), preventing a clear breakdown."
Temasek Holdings (Private) Limited 2024/2025,51.0,,49.0,,100.0,"Equities figure represents liquid and listed assets (51%), which includes an unspecified amount of cash and cash equivalents. Alternatives figure represents unlisted assets and funds (49%)."
